LAT	LON	SPEED	COURSE	HEADING	ELAPSED	SHIPNAME	SHIPTYPE	SHIP_ID
14.60043	-124.0492	134	274	274	5	[SAT-AIS]	7	TWprNU5USXpNams1TlRJek1qazVOUT09LWhmVHFKWHgxTzNBaFhEN003Y0N2Nmc9PQ==
39.75817	-125.359	122	157	158	5	STAR ANTARES	7	3592273
52.64568	-9.056405	0	339	265	1	GENCO WEATHERLY	7	756342
57.39384	-5.639192	0	176	41	1	VOYAGEUR SPIRIT	3	368972
14.24833	-82.25667	100	183	183	4	[SAT-AIS]	8	TlRVek5ESTBOVFV6TkRJME5UVXpOQT09LXBUcEpQTDNnK21uYVZRajVVNmY4K2c9PQ==
10.05709	-30.73249	123	229	229	4	[SAT-AIS]	2	TWpZek16RTJNall6TXpFMk1qWXpNdz09LUpITXdIR2FMYVR2bGVkeWRpY0Y1UUE9PQ==
25.22897	-138.4697	122	291	291	5	[SAT-AIS]	7	TnpjNU56STBOemM1TnpJME56YzVOdz09LUF0RlNKcW1sRHc3ZDhkMmhCTkppSUE9PQ==
44.22667	-76.47313	91	175	176	2	WOLFE ISLANDER III	6	381661
19.78433	-18.39903	130	0	3	7	MH HAMBURG	7	686430
19.79298	-18.39893	129	0	0	5	[SAT-AIS]	7	TlRJek16a3pOVEl6TXprek5USXpNdz09LXJaanNuN0RhK3VHelFyWmt5MitmMGc9PQ==
30.64047	-120.7992	117	257	260	1	TOWER BRIDGE	8	753414
28.47165	-95.60442	138	236	232	1	SEABULK CHALLENGE	8	357331
25.60826	-115.3846	190	126	128	1	MOL BEACON	7	3119407
23.41714	-114.99	141	102	102	2	AAL SINGAPORE	7	363675
23.01927	-111.6846	128	140	142	1	OCEAN INNOVATION	7	686248
31.98073	-117.5447	172	163	165	2	NYK RUMINA	7	727001
12.10752	-69.01221	35	101	106	2	IMPERIAL MWK	7	463169
24.49834	-23.7701	129	46	46	5	[SAT-AIS]	7	T0RJNE9UazFPREk0T1RrMU9ESTRPUT09LUJ4M1JxaEIySjRWTmNWbGd5MkIySWc9PQ==
46.22038	-56.11633	117	263	261	3	QIKIQTAALUK W	8	301085
36.71359	-9.023817	129	287	287	15	MOL TRADITION	7	5112492
36.72333	-9.065	120	288	288	4	[SAT-AIS]	7	TmpBek1UWXdOakF6TVRZd05qQXpNUT09LVhjWkJDdGgxNXR3c1kvbWVIcmhGQVE9PQ==
24.64564	-115.6421	134	117	118	6	EXPLORER ASIA	7	3825681
24.64226	-115.6348	139	116	116	4	[SAT-AIS]	7	TlRVMk9EZ3pOVFUyT0Rnek5UVTJPQT09LWUrM2RleVVWZUtxYzNRRXlEYVR6alE9PQ==
51.28897	4.261093	0	21	33	1	EVER GOODS	7	5518456
28.41157	-80.61119	0	71	358	1	SW TROPEZ I	8	753448
-9.025567	-96.79732	116	288	288	4	[SAT-AIS]	7	TWpnNU56TXpNamc1TnpNek1qZzVOdz09LUZ3K09ZNm1uNklyZExnNDdNcFliNXc9PQ==
39.2154	9.7749	144	33	34	2	ULYSSE	7	766412
14.14134	-26.9256	109	204	200	263	GANT GRACE	7	462394
13.37008	-27.25169	119	202	202	4	[SAT-AIS]	7	TkRFek1UZzJOREV6TVRnMk5ERXpNUT09LWxyeGJSbE5uMlRLS0JBVVN3cmZvZ2c9PQ==
12.4361	-177.0406	27	124	124	5	[SAT-AIS]	2	TnpreU9UWTBOemt5T1RZME56a3lPUT09LWVFSjA3TjBSUCtMMVlwUDU0V29Cc1E9PQ==
46.21317	-123.7922	0	327	93	1	OCEAN GARLIC	7	689586
37.60419	-9.533602	152	344	346	2	MSC IRENE	7	6260703
38.46525	-26.5455	96	238	242	3	STI VENETO	8	2859484
18.855	-40.68833	160	250	250	5	[SAT-AIS]	8	T1RJd09UVTRPVEl3T1RVNE9USXdPUT09LXJoUVE4NVhESVZ0eGE3VnpyaktLTlE9PQ==
54.20847	-132.1193	33	151	22	2	HMM PROMISE	7	5447897
14.5919	-61.09879	60	89	90	1	AUTUMN STREAM	7	368697
30.74384	-122.2276	138	134	135	2	CMB CHIKAKO	7	420570
