icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
"acb84d","NCR571  ","United States",1614114747,1614114747,-118.3767,33.938,60.96,false,65.28,263.21,-2.93,null,53.34,"7244",false,0
"ad448d","ASH5854 ","United States",1614114671,1614114963,-105.6518,31.9991,11887.2,false,281.2,85.59,0,null,12237.72,"1061",false,0
"45ce57","SRR6315 ","Denmark",1614114964,1614114964,1.0342,48.4703,5410.2,false,210.51,71.48,-7.8,null,5661.66,null,false,0
"45ce56","SRR6381 ","Denmark",1614114964,1614114964,5.2705,43.4239,944.88,false,86.55,86.93,12.35,null,1188.72,null,false,0
"424348","AFL1646 ","United Kingdom",1614114964,1614114964,50.7409,59.3598,10675.62,false,209.97,81.83,0.33,null,10126.98,"6135",true,0
"aa7757","SWA5027 ","United States",1614114964,1614114964,-106.5746,35.044,1882.14,false,87.89,95.71,11.7,null,1882.14,null,false,0
"c066f4","ACA170  ","Canada",1614114964,1614114964,-105.4131,51.6802,11277.6,false,247.31,102.13,0.65,null,10713.72,null,false,0
"ac4217","N8893T  ","United States",1614114964,1614114964,-120.0646,37.513,3230.88,false,72.64,237.44,-9.75,null,3337.56,"1732",false,0
"800be7","AIC920  ","India",1614114964,1614114964,76.1846,13.0828,7132.32,false,207.5,85.31,-10.4,null,7452.36,null,false,0
"4cc515","TAY4947 ","Iceland",1614114964,1614114964,0.934,43.6311,2430.78,false,142.5,37.08,-10.4,null,2667,"2266",false,0
"ae58e5","BB240   ","United States",1614114888,1614114897,-87.0208,30.7416,144.78,false,59.64,124.1,-6.83,null,198.12,"0103",false,0
"c066f0","ACA162  ","Canada",1614114964,1614114964,-79.615,43.6797,null,true,0,317.81,null,null,null,"1770",false,0
"42433e","NWS9405 ","United Kingdom",1614114964,1614114964,12.0866,51.6256,10668,false,238.26,69.92,0,null,10965.18,"0673",false,0
"4851f6","KLM757  ","Kingdom of the Netherlands",1614114963,1614114964,-79.4051,8.7542,1889.76,false,132.77,205.47,-1.63,null,1973.58,"7325",false,0
"4851f7","KLM815  ","Kingdom of the Netherlands",1614114964,1614114964,19.2119,54.4156,10668,false,253.07,82.76,0,null,10828.02,"0175",false,0
"a6b10c","GJS4580 ","United States",1614114964,1614114964,-92.7474,44.8903,11582.4,false,171.27,300.11,0,null,11422.38,"6205",false,0
"7100ad","SVA1129 ","Saudi Arabia",1614114785,1614114801,46.1833,24.6347,9144,false,194.66,244.32,0.33,null,9593.58,null,false,0
"a7b397","N5959K  ","United States",1614114964,1614114964,-89.7849,44.0036,1021.08,false,52.27,118.84,0.65,null,922.02,null,false,0
"a47809","UAL2252 ","United States",1614114779,1614114779,-74.174,40.6883,null,true,6.94,25.31,null,null,null,"7374",false,0
"a47aac","N388TA  ","United States",1614114962,1614114962,-79.5135,25.8489,739.14,false,74.02,289.06,0,null,777.24,"3632",false,0
"ab1b4f","N8145R  ","United States",1614114964,1614114964,-97.0934,36.0064,1676.4,false,98.39,3,-2.28,null,1653.54,"1200",false,0
"aa5d34","N767TB  ","United States",null,1614114928,null,null,null,false,78.34,248.83,3.9,null,null,null,false,0
"a0e532","FDL57   ","United States",1614114964,1614114964,-73.4305,40.7244,419.1,false,51.14,126.41,0,null,289.56,null,false,0
"ab5f0a","N8314W  ","United States",1614114671,1614114671,-104.7223,38.8117,1889.76,false,1.54,0,0,null,1844.04,null,false,0
"addadb","JBU2986 ","United States",1614114923,1614114924,-118.4268,33.94,null,true,7.72,351.56,null,null,null,null,false,0
"a1d45a","","United States",1614114850,1614114932,-82.4958,33.4221,4861.56,false,169.08,250.08,0.33,null,4991.1,null,false,0
"ab6607","N8331N  ","United States",1614114962,1614114962,-85.1979,34.1273,2522.22,false,70.94,315.29,1.63,null,2545.08,null,false,0
"a0de49","N155RR  ","United States",1614114964,1614114964,-73.8844,40.5481,236.22,false,84.69,81.97,0,null,129.54,null,false,0
"aca50b","N9136S  ","United States",1614114796,1614114811,-89.6604,33.707,2286,false,85.14,59.1,0.33,null,2301.24,null,false,0
"424363","SVR2803 ","United Kingdom",1614114938,1614114941,71.3416,44.9393,10675.62,false,249.62,125.1,0,null,10271.76,"2145",false,0
"a52ed6","LXJ433  ","United States",1614114964,1614114964,-91.3489,38.5849,3413.76,false,172.98,92.22,-9.1,null,3421.38,"1365",false,0
"a0a8de","UAL1981 ","United States",1614114964,1614114964,-116.411,33.5274,11887.2,false,240.56,87.06,-0.33,null,12047.22,"1064",false,0
"e49590","AZU4620 ","Brazil",1614114963,1614114964,-44.6356,-21.143,11285.22,false,246.93,35.25,0,null,11971.02,"1041",false,0
"c07290","AIE531  ","Canada",1614114964,1614114964,-66.5715,51.3579,8526.78,false,140.14,183.16,0,null,8008.62,null,false,0
"a67470","N515EK  ","United States",null,1614114961,null,null,null,false,61.91,184.29,0,null,null,null,false,0
"4076e8","BAW297  ","United Kingdom",1614114964,1614114964,-66.6358,49.9622,12192,false,235.57,231.83,0,null,11666.22,null,false,0
"504e5a","ATG9971 ","Republic of Moldova",1614114964,1614114964,39.0214,56.016,12489.18,false,254.27,88.14,-0.33,null,12169.14,"7127",false,0
"a77a32","LXJ581  ","United States",1614114964,1614114964,-76.0799,43.1507,7574.28,false,192.53,276.29,-13.66,null,7200.9,"3406",false,0
"76cc64","SIA672  ","Singapore",1614114700,1614114700,122.2851,20.7846,11879.58,false,265.11,49.01,-0.33,null,12595.86,null,false,0
